,Datetime,GHI,avg_FrontIrrad,avg_RearIrrad,avg_TotalIrrad
1,20/05/2019 06:00,85,29.41324889,20.61780778,
2,20/05/2019 07:00,128,59.67857333,33.60924333,
3,20/05/2019 08:00,84,80.48005556,40.08941889,
4,20/05/2019 09:00,116,84.61367556,40.02616667,
5,20/05/2019 10:00,143,69.07784333,33.48914333,
6,20/05/2019 11:00,162,34.60186111,21.44111444,
7,20/05/2019 12:00,171,2.601568444,2.534224333,
8,20/05/2019 13:00,171,4.982305778,4.725683667,
9,20/05/2019 14:00,411,8.819294333,8.507452889,
10,20/05/2019 15:00,361,16.11880111,15.12891222,
11,20/05/2019 16:00,290,20.29902333,18.68929444,
12,20/05/2019 17:00,207,20.36312111,18.57039889,
13,20/05/2019 18:00,120,131.0004444,34.98612778,
14,20/05/2019 19:00,44,34.26945556,21.85884556,
15,20/05/2019 20:00,5,7.180123222,6.147762778,
