x,y,z,rearZ,mattype,rearMat,Wm2Front,Wm2Back,Back/FrontRatio
-6.645182,-29.62895,0.6704,0.6704,a6.0.a0.test-module.6457,a6.0.a0.test-module.2310,2.596314,2.528549,0.9735245719231483
-6.645182,-29.62895,1.0408,1.0408,a6.0.a0.test-module.6457,a6.0.a0.test-module.2310,2.619839,2.550421,0.9731315048349022
-6.645182,-29.62895,1.4112,1.4112,a6.0.a0.test-module.6457,a6.0.a0.test-module.2310,2.596853,2.572413,0.9902072981034725
-6.645182,-29.62895,1.7816,1.7816,a6.0.a1.test-module.6457,a6.0.a1.test-module.2310,2.603774,2.517066,0.9663279808536172
-6.645182,-29.62895,2.152,2.152,a6.0.a1.test-module.6457,a6.0.a1.test-module.2310,2.610824,2.521939,0.965585353377563
-6.645182,-29.62895,2.5224,2.5224,a6.0.a1.test-module.6457,a6.0.a1.test-module.2310,2.594249,2.526929,0.9736749729987373
-6.645182,-29.62895,2.8928,2.8928,a6.0.a2.test-module.6457,a6.0.a2.test-module.2310,2.595771,2.531919,0.975025907174718
-6.645182,-29.62895,3.2632,3.2632,a6.0.a2.test-module.6457,a6.0.a2.test-module.2310,2.597421,2.528243,0.9729920594083867
-6.645182,-29.62895,3.6336,3.6336,a6.0.a2.test-module.6457,a6.0.a2.test-module.2310,2.599071,2.53054,0.9732580379535789
